Channel,OptimalFeatureCount,OptimalAccuracy,MinimumLoss,Completed
AF3,934,97.5,0.0250000000000001,1
AF4,998,98.5714285714286,0.0142857142857145,1
F3,827,97.6785714285714,0.0232142857142857,1
F4,984,98.5714285714286,0.0142857142857143,1
F7,954,96.6071428571428,0.0339285714285715,1
F8,NaN,NaN,NaN,1
FC5,835,98.9285714285714,0.0107142857142858,1
FC6,628,96.6071428571429,0.0339285714285714,1
O1,995,97.3214285714286,0.0267857142857144,1
O2,951,97.8571428571429,0.0214285714285714,1
P7,786,98.9285714285714,0.0107142857142858,1
P8,805,98.0357142857143,0.0196428571428571,1
T7,982,98.3928571428571,0.0160714285714286,1
T8,807,97.3214285714286,0.0267857142857142,1
